time,rtt,throughput,loss_rate,latency
12:06:25,98.49,3.33,0.0466,53.85
12:06:26,43.75,4.25,0.0266,44.52
12:06:27,93.67,2.32,0.0258,19.05
12:06:28,80.18,1.25,0.0306,12.38
12:06:29,82.68,4.22,0.0491,13.2
12:06:30,61.71,0.89,0.0397,23.92
12:06:31,61.58,3.33,0.0089,25.57
12:06:32,37.25,2.06,0.0043,44.31
12:06:33,92.39,1.07,0.0428,20.71
12:06:34,27.9,2.61,0.0353,39.23
12:06:35,87.66,1.73,0.0388,39.54
12:06:36,81.1,2.2,0.0359,13.81
12:06:37,38.36,1.5,0.0479,25.39
12:06:38,29.25,0.95,0.0475,54.93
12:06:39,64.76,1.87,0.0399,59.56
12:06:40,28.65,1.48,0.0366,10.74
12:06:41,80.23,1.57,0.0352,46.45
12:06:42,97.22,4.77,0.0369,43.37
12:06:43,57.44,4.35,0.0156,54.28
12:06:44,77.66,2.39,0.0257,39.64
12:06:45,88.49,2.56,0.0391,22.73
12:06:46,38.76,1.61,0.0326,51.93
12:06:47,25.79,4.69,0.0047,26.31
12:06:48,36.93,2.0,0.0258,39.55
12:06:49,56.95,2.94,0.0106,28.76
12:06:50,91.2,2.0,0.0011,26.2
12:06:51,38.65,1.31,0.002,33.27
12:06:52,46.38,3.36,0.0208,49.6
12:06:53,52.3,1.6,0.0202,52.69
12:06:54,75.49,4.64,0.0099,46.77
12:06:55,66.54,1.64,0.0194,22.91
12:06:56,48.26,0.91,0.0199,12.7
12:06:57,80.57,2.25,0.0157,22.62
12:06:58,43.22,4.84,0.0134,53.09
12:06:59,81.81,2.69,0.0448,33.32
12:07:00,63.44,2.24,0.046,36.94
12:07:01,71.16,4.63,0.0415,34.02
12:07:02,88.97,0.54,0.0382,21.6
12:07:03,92.06,1.12,0.0003,33.82
12:07:04,88.16,4.16,0.0425,58.15
12:07:05,45.28,4.44,0.0006,32.47
12:07:06,69.75,4.21,0.0106,42.6
12:07:07,98.4,3.27,0.0052,32.38
12:07:08,33.43,3.12,0.0166,36.0
12:07:09,50.36,2.08,0.0197,50.96
12:07:10,36.26,1.66,0.0119,15.84
12:07:11,38.0,4.69,0.0224,40.68
12:07:12,80.77,1.94,0.0454,37.79
12:07:13,31.02,0.57,0.0357,37.09
12:07:14,64.26,0.74,0.0119,28.51
12:07:15,67.23,1.88,0.0346,14.55
12:07:16,99.9,4.56,0.0154,29.57
12:07:17,83.24,2.38,0.0328,45.67
12:07:18,29.66,0.51,0.0311,26.32
12:07:19,66.68,4.32,0.0131,26.19
12:07:20,33.26,3.18,0.0048,39.87
12:07:21,49.11,2.49,0.0296,43.42
12:07:22,42.9,4.16,0.0088,52.08
12:07:23,30.73,3.35,0.0437,53.67
12:07:24,67.61,0.68,0.0074,24.4
