time,rtt,throughput,loss_rate,latency
12:08:28,46.67,0.93,0.0401,42.29
12:08:29,72.62,4.95,0.025,38.01
12:08:30,92.94,2.65,0.0418,27.56
12:08:31,87.62,0.81,0.0261,24.81
12:08:32,35.67,4.09,0.0493,56.61
12:08:33,79.72,2.46,0.021,48.36
12:08:34,42.05,1.82,0.0061,22.86
12:08:35,69.36,0.82,0.0148,22.39
12:08:36,46.58,3.38,0.0134,20.16
12:08:37,86.38,3.13,0.0148,24.54
12:08:38,25.34,3.42,0.0024,56.78
12:08:39,71.98,1.7,0.0186,19.09
12:08:40,79.84,4.36,0.0359,58.23
12:08:41,53.47,2.69,0.0127,57.59
12:08:42,67.37,0.88,0.0498,41.4
12:08:43,85.06,4.74,0.0193,36.54
12:08:44,56.93,1.59,0.0222,29.54
12:08:45,25.73,2.26,0.0449,50.35
12:08:46,40.62,0.91,0.0019,41.49
12:08:47,54.36,4.98,0.0266,43.02
12:08:48,32.19,1.96,0.019,45.97
12:08:49,84.74,2.53,0.0419,25.82
12:08:50,78.28,1.25,0.0132,13.29
12:08:51,31.91,4.67,0.0488,37.76
12:08:52,59.71,1.71,0.0474,15.31
12:08:53,38.91,3.81,0.0026,20.75
12:08:54,91.28,1.47,0.0428,59.06
12:08:55,30.78,0.55,0.048,32.31
12:08:56,44.87,1.6,0.0366,31.79
12:08:57,98.41,0.61,0.0074,43.24
12:08:58,26.63,1.89,0.0098,37.47
12:08:59,22.42,4.87,0.0098,19.44
12:09:00,76.47,2.12,0.0006,27.39
12:09:01,33.56,3.79,0.0124,44.83
12:09:02,61.44,1.57,0.0201,57.43
12:09:03,71.84,1.09,0.0399,11.8
12:09:04,82.68,4.5,0.0262,30.86
12:09:05,46.12,2.61,0.0477,11.96
12:09:06,77.7,3.91,0.05,17.12
12:09:07,24.27,2.94,0.0214,24.26
12:09:08,47.76,4.04,0.0328,58.5
12:09:09,56.34,0.68,0.0376,19.89
12:09:10,53.79,2.04,0.0444,51.28
12:09:11,66.1,1.26,0.0331,22.11
12:09:12,83.13,4.58,0.0244,58.9
12:09:13,66.35,2.07,0.0428,38.74
12:09:14,67.28,2.28,0.0197,46.64
12:09:15,56.28,1.66,0.0384,16.3
12:09:16,31.05,3.82,0.0147,12.77
12:09:17,90.48,1.19,0.0122,37.51
12:09:18,55.36,2.2,0.0198,38.02
12:09:19,26.43,2.67,0.0312,10.55
12:09:20,56.02,3.28,0.0206,29.13
12:09:21,60.72,3.07,0.0418,40.69
12:09:22,78.02,2.64,0.0382,23.46
12:09:23,98.55,2.24,0.0278,30.17
12:09:24,41.57,3.81,0.0131,44.32
12:09:25,33.84,4.2,0.0001,28.85
12:09:26,38.34,0.6,0.0493,59.83
12:09:27,87.81,0.77,0.0041,41.64
