time,rtt,throughput,loss_rate,latency
12:04:21,40.56,1.33,0.0454,48.11
12:04:22,96.6,1.96,0.0197,15.52
12:04:23,85.24,1.37,0.0223,54.9
12:04:24,96.19,1.15,0.0056,12.13
12:04:25,48.34,4.43,0.0166,41.79
12:04:26,52.91,2.46,0.037,12.95
12:04:27,27.99,2.73,0.0285,48.88
12:04:28,67.35,2.52,0.0349,44.76
12:04:29,58.37,4.83,0.0306,58.0
12:04:30,29.76,2.68,0.0416,20.4
12:04:31,73.96,2.43,0.0446,47.67
12:04:32,59.3,0.89,0.0382,19.94
12:04:33,73.73,1.61,0.0043,36.72
12:04:34,56.32,1.74,0.0047,24.48
12:04:35,82.31,0.92,0.0148,30.93
12:04:36,35.82,2.57,0.0022,14.59
12:04:37,93.71,3.5,0.0008,18.28
12:04:38,99.34,0.77,0.0435,39.84
12:04:39,97.02,3.45,0.0302,43.9
12:04:40,29.46,2.76,0.037,19.7
12:04:41,88.69,3.51,0.0393,40.17
12:04:42,65.05,1.3,0.0285,14.55
12:04:43,56.47,1.06,0.0063,11.29
12:04:44,97.91,4.65,0.0179,49.11
12:04:45,85.27,1.1,0.0302,53.55
12:04:46,89.14,2.97,0.017,10.27
12:04:47,42.23,2.64,0.0238,53.97
12:04:48,25.38,1.26,0.0377,54.4
12:04:49,54.83,2.97,0.0351,26.97
12:04:50,74.38,1.92,0.0178,42.1
12:04:51,64.15,4.65,0.0363,46.6
12:04:52,40.48,4.85,0.0214,37.11
12:04:53,94.07,1.05,0.0094,16.52
12:04:54,86.53,1.67,0.0337,31.77
12:04:55,26.45,3.93,0.0405,52.6
12:04:56,51.3,3.3,0.0392,29.71
12:04:57,79.34,3.57,0.0097,20.16
12:04:58,56.57,0.6,0.0063,56.32
12:04:59,94.52,3.71,0.0112,27.0
12:05:00,40.27,3.06,0.0352,15.67
12:05:01,91.41,2.49,0.0217,28.75
12:05:02,46.43,4.65,0.025,24.89
12:05:03,43.33,3.56,0.0303,50.74
12:05:04,40.31,1.94,0.0113,44.97
12:05:05,80.32,0.52,0.0497,19.3
12:05:06,25.37,1.71,0.0146,56.45
12:05:07,29.71,3.79,0.0494,25.04
12:05:08,77.49,4.52,0.0043,57.56
12:05:09,86.13,2.27,0.0138,17.43
12:05:10,74.26,3.77,0.0152,10.61
12:05:11,82.58,4.6,0.0465,15.63
12:05:12,55.55,1.96,0.0092,10.72
12:05:13,78.68,0.55,0.0222,19.86
12:05:14,82.06,3.81,0.028,42.78
12:05:15,36.57,2.6,0.014,53.55
12:05:16,48.82,4.45,0.0406,42.03
12:05:17,90.98,4.9,0.0423,18.1
12:05:18,68.99,3.79,0.0448,20.39
12:05:19,69.84,3.98,0.0211,50.21
12:05:20,25.23,1.64,0.0462,56.51
