time,rtt,throughput,loss_rate,latency
11:30:43,59.33,2.1,0.0266,52.51
11:30:44,89.32,2.68,0.0415,52.09
11:30:45,62.07,2.72,0.0244,28.16
11:30:46,89.57,1.84,0.0404,23.61
11:30:47,27.15,1.53,0.0163,12.15
11:30:48,88.57,2.72,0.0408,13.64
11:30:49,30.43,2.6,0.0449,11.85
11:30:50,79.6,0.76,0.0142,19.58
11:30:51,40.14,1.73,0.0472,32.38
11:30:52,44.93,1.26,0.044,25.75
11:30:53,69.08,1.93,0.019,35.65
11:30:54,53.28,3.44,0.0451,43.81
11:30:55,73.92,3.44,0.0291,34.84
11:30:56,83.25,1.1,0.0235,38.46
11:30:57,93.71,4.01,0.0303,20.14
11:30:58,85.77,3.53,0.033,31.2
11:30:59,84.91,3.12,0.0339,32.83
11:31:00,35.68,4.47,0.0001,47.45
11:31:01,64.69,1.04,0.0177,40.84
11:31:02,97.58,4.66,0.0316,12.04
11:31:03,21.09,1.88,0.0421,30.73
11:31:04,75.76,2.62,0.016,54.36
11:31:05,93.75,3.06,0.0367,25.02
11:31:06,71.55,1.52,0.0431,59.51
11:31:07,97.98,3.05,0.0222,41.93
11:31:08,75.66,2.43,0.0351,20.91
11:31:09,60.21,0.59,0.0246,23.82
11:31:10,78.57,2.69,0.0356,23.25
11:31:11,75.35,2.45,0.0218,40.34
11:31:12,25.8,2.38,0.047,28.46
11:31:13,26.18,2.46,0.0233,43.87
11:31:14,68.96,2.6,0.0131,20.77
11:31:15,81.65,0.54,0.0164,52.15
11:31:16,40.7,2.42,0.0492,30.39
11:31:17,69.59,1.45,0.0007,25.87
11:31:18,39.39,3.03,0.0151,10.58
11:31:19,80.62,4.36,0.0099,54.43
11:31:20,77.8,3.95,0.0259,34.03
11:31:21,76.92,1.8,0.0223,30.01
11:31:22,56.21,4.95,0.0175,42.95
11:31:23,60.11,4.57,0.0299,53.61
11:31:24,71.74,1.92,0.0338,15.44
11:31:25,44.26,2.46,0.0121,26.88
11:31:26,41.83,3.34,0.0272,17.8
11:31:27,43.52,0.76,0.0146,36.83
11:31:28,50.76,0.56,0.0488,13.23
11:31:29,83.28,0.66,0.0445,17.38
11:31:30,43.91,0.66,0.0117,37.64
11:31:31,63.73,1.71,0.0155,16.17
11:31:32,95.0,1.07,0.0322,42.35
11:31:33,88.49,3.52,0.0122,53.46
11:31:34,59.97,1.91,0.0405,24.45
11:31:35,26.64,2.33,0.034,36.18
11:31:36,92.17,2.27,0.0423,20.75
11:31:37,42.49,2.3,0.0468,51.86
11:31:38,85.74,3.31,0.0201,52.55
11:31:39,94.02,0.66,0.0429,22.88
11:31:40,95.59,4.07,0.0362,33.57
11:31:42,66.86,1.71,0.0027,33.32
11:31:43,23.51,1.88,0.0267,50.3
